user_id,role,task_id,task,skill_area,baseline_impact,impact_reason
USER001,Software Engineer,TASK001,Write application code,Python/Java/Software Development,High,"AI coding agents can generate routine and multi-file code, changing the amount of manual coding required."
USER001,Software Engineer,TASK002,Write unit tests,Software Testing,High,"AI tools can generate test cases and test scaffolding, reducing repetitive manual work."
USER001,Software Engineer,TASK003,Debug routine defects,Debugging,Medium,"AI assistants can diagnose common errors, but complex root-cause analysis still needs human judgement."
USER001,Software Engineer,TASK004,Build and maintain APIs,Application Development,Medium,"AI can accelerate implementation, but architecture, requirements and production judgement remain important."
USER001,Software Engineer,TASK005,Review pull requests,Code Review,Medium,"AI can assist first-pass review and code suggestions, increasing the value of higher-level review judgement."
USER001,Software Engineer,TASK006,Maintain system architecture,Software Design,Low,"Architecture requires trade-offs, context and accountability that are harder to automate fully."
USER001,Software Engineer,TASK007,Collaborate with product teams,Stakeholder Management,Low,"Human communication, prioritisation and negotiation remain important."
USER002,Digital Marketing Executive,TASK011,Write social media copy,Content Marketing,High,Generative AI can rapidly produce first drafts and variants at scale.
USER002,Digital Marketing Executive,TASK012,Create basic campaign content,Content Marketing Strategy,High,GenAI is increasingly used for ideation and content production.
USER002,Digital Marketing Executive,TASK013,Prepare routine campaign reports,Market Intelligence / Analytics,Medium,"AI can automate summarisation and reporting, shifting value to interpretation."
USER002,Digital Marketing Executive,TASK014,Conduct competitor research,Market Research,Medium,"AI can speed research and synthesis, but evidence quality and strategic interpretation still matter."
USER002,Digital Marketing Executive,TASK015,Coordinate campaign agencies,Contract / Vendor Management,Low,Coordination and stakeholder management remain relatively human-centred.
USER002,Digital Marketing Executive,TASK016,Develop campaign strategy,Marketing Strategy,Low,"Strategy requires business context, judgement, differentiation and accountability."
USER002,Digital Marketing Executive,TASK017,Analyse customer behaviour,Customer Behaviour Analysis,Medium,"AI improves pattern discovery and segmentation, increasing the need for analytical fluency."
USER003,Accounts Executive,TASK021,Process invoices,Finance Operations,High,"AI-enabled invoice workflows can extract, validate and route high-volume transactions."
USER003,Accounts Executive,TASK022,Perform data entry,Finance Operations,High,Structured transactional input is highly automatable.
USER003,Accounts Executive,TASK023,Perform bank reconciliation,Account Reconciliation,High,Automation and AI agents can compare records and flag exceptions.
USER003,Accounts Executive,TASK024,Manage accounts payable / receivable,AR/AP Management,Medium,Routine matching and workflow steps can increasingly be automated.
USER003,Accounts Executive,TASK025,Prepare routine financial reports,Financial Reporting,Medium,"AI can automate collection, consolidation and narrative drafting, while humans validate outputs."
USER003,Accounts Executive,TASK026,Support month-end close,Financial Close,Medium,Automation can reduce repetitive close activities and reconciliation work.
USER003,Accounts Executive,TASK027,Interpret unusual transactions / exceptions,Financial Analysis / Controls,Low,Human judgement and contextual investigation remain important.
USER004,Accounts Payable Officer,TASK031,Process and code supplier invoices,Accounts Payable,High,"Invoice capture and coding is exactly the repetitive, rules-based work AP automation targets first."
USER004,Accounts Payable Officer,TASK032,Match invoices to purchase orders,Procure-to-Pay,High,Three-way matching is being handled by AI agents that flag only the exceptions for a human.
USER004,Accounts Payable Officer,TASK033,Chase and resolve invoice discrepancies,Exception Handling,Medium,"Routine discrepancies get auto-resolved, leaving the harder supplier negotiations to people."
USER004,Accounts Payable Officer,TASK034,Prepare payment runs,Payments,Medium,"Scheduling and batching is increasingly automated, though approval judgment stays human."
USER004,Accounts Payable Officer,TASK035,Reconcile supplier statements,Reconciliation,High,Statement reconciliation is a well-defined matching problem automation handles well.
USER004,Accounts Payable Officer,TASK036,Answer supplier queries,Vendor Management,Low,Relationship and negotiation work with suppliers remains a human strength.
USER004,Accounts Payable Officer,TASK037,Support month-end close,Financial Reporting,Low,Close still needs judgment on accruals and unusual items.
USER005,QA Engineer,TASK041,Write and execute manual test cases,Software Testing,High,"Coding agents now generate and run test suites, shifting the work from writing cases to reviewing coverage."
USER005,QA Engineer,TASK042,Log and triage defects,Defect Management,Medium,"Triage is increasingly assisted, but judging severity and user impact stays human."
USER005,QA Engineer,TASK043,Run regression cycles,Regression Testing,High,Regression is the most automatable part of QA and the first to be handed to tooling.
USER005,QA Engineer,TASK044,Verify bug fixes,Verification,Medium,Automated verification handles the routine cases; unusual fixes still need a tester.
USER005,QA Engineer,TASK045,Review requirements for testability,Requirements Analysis,Low,Spotting ambiguity in requirements is judgment work AI supports rather than replaces.
USER005,QA Engineer,TASK046,Coordinate UAT with business users,Stakeholder Management,Low,"Running UAT with real users is relationship work, not automatable."
USER006,Social Media Executive,TASK051,Write daily social posts and captions,Content Production,High,"Generative AI produces first-draft copy at volume, shifting the work to editing and brand judgment."
USER006,Social Media Executive,TASK052,Design simple post visuals,Visual Content,High,AI image tools cover routine visual variations that used to take an afternoon.
USER006,Social Media Executive,TASK053,Schedule and publish content,Campaign Operations,Medium,Scheduling is largely tool-driven already; timing strategy is the remaining judgment.
USER006,Social Media Executive,TASK054,Reply to comments and DMs,Community Management,Medium,Assisted replies handle routine questions; genuine community voice stays human.
USER006,Social Media Executive,TASK055,Compile campaign performance reports,Analytics,Medium,Report assembly automates easily; deciding what the numbers mean does not.
USER006,Social Media Executive,TASK056,Brief and manage influencers,Partnerships,Low,Negotiation and relationship judgment with creators remains human work.
USER006,Social Media Executive,TASK057,Shape campaign concepts,Creative Strategy,Low,Original brand positioning is where marketers differentiate as production gets cheap.
