plan_id,user_id,phase,goal,milestones,tasks,resource_ids,hours_per_week
PLAN001,USER001,Days 1–30,Build AI-assisted software development fluency,Complete fundamentals; use an AI coding assistant on a controlled project; document review workflow,Learn AI coding workflows; practise prompting/context; compare manual vs AI-assisted development; build small feature,"RES001,RES002",6
PLAN001B,USER001,Days 31–60,Build LLM application skills,Create a working LLM-enabled backend service,Learn LLM API basics; prompt/context engineering; evaluation basics; integrate model into REST service,"RES001,RES011",6
PLAN001C,USER001,Days 61–90,Apply AI integration in production-like workflow,Deploy a portfolio project and update career profile,Cloud deployment; AI evaluation; observability/cost; portfolio documentation,"RES001,RES011",6
PLAN002,USER002,Days 1–30,Become effective with generative AI in marketing,Create and evaluate an AI-assisted campaign asset,Learn GenAI workflow; content evaluation; brand voice; experiment log,"RES001,RES002,RES010",4
PLAN002B,USER002,Days 31–60,Strengthen marketing analytics,Build one dashboard and one customer segment analysis,Campaign analytics; customer segmentation; data storytelling; experimentation,"RES001,RES010",4
PLAN002C,USER002,Days 61–90,Move toward AI-enabled marketing strategy,"Deliver an AI-assisted, data-driven campaign case study",AI-assisted campaign strategy; measurement; stakeholder presentation; portfolio update,"RES001,RES008,RES010",4
PLAN003,USER003,Days 1–30,Understand accounting automation and identify task exposure,Map current AP/AR/reconciliation workflow; identify 3 automatable steps,Learn automation concepts; document current workflow; practise exception identification,"RES001,RES009",3
PLAN003B,USER003,Days 31–60,Build finance analytics capability,Create a financial dashboard and analyse a small dataset,Power BI/data visualisation; financial data analysis; dashboard design; data quality checks,"RES001,RES009",3
PLAN003C,USER003,Days 61–90,Transition toward analytical accounting,Complete a finance analytics portfolio case and propose one process improvement,Forecasting basics; exception analysis; business partnering; process redesign,"RES001,RES008,RES009",3
PLAN004,USER004,Days 1–30,Understand what AP automation actually changes,Complete a finance automation short course; map your own AP process end to end; list which steps a bot could own,Learn how AP automation tools work; document your current process; identify the three steps most exposed,"RES002,RES007",4
PLAN004B,USER004,Days 31–60,Turn payables data into analysis,Rebuild one monthly report as a dashboard; present one supplier insight to your manager,Learn a BI tool; convert an Excel report; write a short commentary on what the numbers show,"RES005,RES006",4
PLAN004C,USER004,Days 61–90,Position for an analyst-shaped role,Shadow the analysis team; take on one recurring analysis task; update CV around analysis not processing,Arrange shadowing; own one recurring report; get a WSG career conversation,"RES008,RES003",4
PLAN005,USER005,Days 1–30,Get scripting fluent enough to automate,Finish a Python-for-automation course; script three of your own manual test cases,Complete Python fundamentals; convert three manual cases to scripts; commit them to the team repo,"RES002,RES013",8
PLAN005B,USER005,Days 31–60,Own an automated regression suite,Automate the full regression pack for one module; cut its run time in half,Learn a test framework; automate one module end to end; measure before and after,"RES013,RES001",8
PLAN005C,USER005,Days 61–90,Add AI evaluation to your range,Run a structured evaluation of one AI feature; write up the method,Learn LLM evaluation basics; design an eval set; present findings to the team,"RES002,RES005",8
PLAN006,USER006,Days 1–30,Make AI a drafting tool you direct,Set up an AI content workflow with brand guardrails; halve your drafting time on one channel,Learn prompt and creative direction; build a brand-voice prompt library; measure time saved,"RES002,RES010",5
PLAN006B,USER006,Days 31–60,Build the strategy layer,Write a positioning document for one product line; present it to your manager,Learn brand strategy frameworks; audit competitors; draft positioning,"RES005,RES010",5
PLAN006C,USER006,Days 61–90,Back strategy with numbers,Rebuild campaign reporting around insight; defend one strategic recommendation with data,Learn marketing analytics basics; rebuild the monthly report; write one data-backed recommendation,"RES002,RES006",5
