signal_id,title,sector,technology,date,source,source_url,evidence,severity,frequency,source_credibility,affected_roles,signal_summary,expected_signal_output,expected_role_output
SIG001,"Agentic AI adoption is scaling, including coding agents",Technology,Agentic AI / Coding Agents,2026-08-25,McKinsey Global Survey – The State of AI 2026,https://www.mckinsey.com/capabilities/quantumblack/our-insights/the-state-of-ai,About two in ten respondents report scaling software coding agents; 31% at larger enterprises.,High,High,High,"[""Software Engineer""]",Organisations are moving from chat assistants toward agentic coding workflows that can execute more of the software development lifecycle.,"{""validated"": true, ""relevance_score"": 96, ""severity"": ""High"", ""reason"": ""Strong sector relevance and explicit evidence of coding-agent scaling.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002"", ""TASK003"", ""TASK005""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG001"", ""SKG002"", ""SKG005""]}]"
SIG002,"Coding agents can independently modify code, run tests and open pull requests",Technology,AI Coding Agents,2026-03-19,GitHub Changelog – Copilot coding agent,https://github.blog/changelog/2026-03-19-copilot-coding-agent-now-starts-work-50-faster/,"GitHub describes Copilot coding agent as working in a cloud environment, making changes, running tests and pushing changes for review.",High,High,High,"[""Software Engineer""]",Routine implementation and testing workflows are becoming increasingly agent-assisted.,"{""validated"": true, ""relevance_score"": 98, ""severity"": ""High"", ""reason"": ""Primary vendor documentation demonstrates concrete capability, not speculation.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002""], ""impact_level"": ""High"", ""affected_skills"": [""SKG001"", ""SKG005""]}]"
SIG003,Agent usage among developers has risen sharply,Technology,AI Agents,2026-05-27,Stack Overflow Pulse Survey,https://stackoverflow.blog/2026/05/27/agents-on-a-leash-agentic-ai-remains-mostly-monitored-at-work/,"Latest pulse survey reported agent usage at 59%, up from 31%; 63% of technologists still rarely or never let agents run entirely on autopilot.",High,High,High,"[""Software Engineer""]","AI agents are moving into day-to-day development, but human oversight remains common.","{""validated"": true, ""relevance_score"": 95, ""severity"": ""High"", ""reason"": ""Current developer survey indicates meaningful adoption while preserving the human-oversight nuance.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002"", ""TASK005""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG001"", ""SKG006""]}]"
SIG004,AI coding agents are compressing software delivery timelines,Technology,Agentic Software Development,2026-06-24,McKinsey – AI-powered software development,https://www.mckinsey.com/featured-insights/mckinsey-explainers/ai-powered-software-development-how-technology-is-rewriting-the-rules,"McKinsey describes agents that can spec, write, test and deploy software with much less human input, and notes role reinvention and smaller/broader teams.",High,High,High,"[""Software Engineer""]","Engineering work is shifting from manual implementation toward specifying, reviewing, integrating and supervising AI-driven development.","{""validated"": true, ""relevance_score"": 97, ""severity"": ""High"", ""reason"": ""Direct evidence that workflows and role boundaries are changing.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002"", ""TASK005"", ""TASK006""], ""impact_level"": ""High/Medium/Low"", ""affected_skills"": [""SKG001"", ""SKG004"", ""SKG005""]}]"
SIG005,Software engineering roles are being redesigned around AI,Technology,AI-augmented SDLC,2026-08-25,McKinsey – Agentic product development,https://www.mckinsey.com/industries/technology-media-and-telecommunications/our-insights/beyond-the-copilot-scaling-the-agentic-product-development-life-cycle,"At top-accelerating organisations, respondents reported AI-driven changes in software engineering roles; repeatable work is moving from people to agents.",High,High,High,"[""Software Engineer""]","The relevant risk is task redesign: documentation, test generation and routine outputs increasingly move to agents.","{""validated"": true, ""relevance_score"": 96, ""severity"": ""High"", ""reason"": ""Directly maps the disruption to role redesign rather than blanket replacement.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002"", ""TASK005""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG001"", ""SKG006""]}]"
SIG006,AI-assisted development is becoming part of mainstream developer workflows,Technology,AI Coding Assistants,2025-10-28,GitHub Octoverse 2025,https://github.blog/news-insights/octoverse/octoverse-a-new-developer-joins-github-every-second-as-ai-leads-typescript-to-1/,GitHub reported major shifts in software development driven by AI and agents and rapid developer growth in the ecosystem.,Medium,High,High,"[""Software Engineer""]",AI-enabled development is becoming a normal part of the software tooling landscape.,"{""validated"": true, ""relevance_score"": 91, ""severity"": ""Medium"", ""reason"": ""Strong platform-level evidence; older than the 2026 signals but useful as a trend baseline.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK001"", ""TASK002"", ""TASK005""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG001""]}]"
SIG007,"AI assistants are developing persistent, cross-agent context for software workflows",Technology,Agentic Memory,2026-01-15,GitHub – Building an agentic memory system for GitHub Copilot,https://github.blog/ai-and-ml/github-copilot/building-an-agentic-memory-system-for-github-copilot/,"GitHub describes cross-agent memory across coding, CLI and code review workflows to accumulate context and improve performance.",Medium,Medium,High,"[""Software Engineer""]","AI systems are becoming more persistent across the software lifecycle, potentially increasing automation depth.","{""validated"": true, ""relevance_score"": 90, ""severity"": ""Medium"", ""reason"": ""Concrete product-development direction with implications for workflow automation.""}","[{""persona"": ""USER001"", ""affected_tasks"": [""TASK003"", ""TASK005""], ""impact_level"": ""Medium"", ""affected_skills"": [""SKG005"", ""SKG006""]}]"
SIG008,AI is producing more marketing content at scale,Marketing,Generative AI,2026-04-02,HubSpot – State of Generative AI in Marketing 2026,https://blog.hubspot.com/marketing/state-of-generative-ai,71% of surveyed marketers said AI helps them create significantly more content; 53% struggle to make content stand out.,High,High,Medium,"[""Digital Marketing Executive""]","Content production is becoming cheaper and faster, shifting marketing value toward differentiation, judgement and strategy.","{""validated"": true, ""relevance_score"": 93, ""severity"": ""High"", ""reason"": ""Large marketer sample and direct measures of content-production impact.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK011"", ""TASK012""], ""impact_level"": ""High"", ""affected_skills"": [""SKG011"", ""SKG012"", ""SKG016""]}]"
SIG009,Singapore marketers are increasingly using AI to scale personalisation,Marketing,AI Personalisation,2026-06-16,Salesforce Singapore,https://www.salesforce.com/ap/news/press-releases/2026/06/16/87-of-singapore-marketers-confess-to-running-generic-campaigns-data-issues-are-the-biggest-barrier/,"75% of Singapore marketers said they need more personalised content than they can produce; 81% are turning to AI, with personalisation the top use case.",High,High,High,"[""Digital Marketing Executive""]",Singapore-specific marketing workflows are shifting toward AI-assisted personalisation.,"{""validated"": true, ""relevance_score"": 97, ""severity"": ""High"", ""reason"": ""Direct Singapore evidence strongly relevant to the persona.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK012"", ""TASK017""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG011"", ""SKG013"", ""SKG014""]}]"
SIG010,Generative AI and agentic AI are being deployed across content workflows,Marketing,Generative AI / Agentic AI,2026-06-01,Adobe – 2026 AI and Digital Trends in Content Creation and Management,https://business.adobe.com/resources/reports/content-management-digital-trends.html,76% reported moderate/significant improvements in content ideation and production; 15% reported widespread deployment of agentic AI for creative thinking tasks.,High,High,High,"[""Digital Marketing Executive""]","Content ideation and production are becoming increasingly AI-assisted, while agentic systems are emerging in creative workflows.","{""validated"": true, ""relevance_score"": 94, ""severity"": ""High"", ""reason"": ""Evidence covers both GenAI and agentic adoption in content workflows.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK011"", ""TASK012""], ""impact_level"": ""High"", ""affected_skills"": [""SKG011"", ""SKG012""]}]"
