user_id,target_role,similarity_score,transferable_skills,gap_to_role,reason
USER001,AI Application Engineer,82,"Python, APIs, backend development, problem solving","LLM application development, AI evaluation, deployment",Strong overlap with software engineering plus emerging AI integration skills.
USER001,Cloud Engineer,75,"Backend development, APIs, Git, software troubleshooting","Cloud architecture, infrastructure automation, observability",Existing engineering foundation transfers well into cloud-focused work.
USER002,Marketing Analyst,85,"Campaign management, analytics, customer behaviour, marketing domain","Advanced analytics, data visualisation, SQL/statistical fluency",Strong marketing knowledge can be combined with deeper analytics.
USER002,Growth Analyst,72,"Campaigns, SEO, marketing analytics, customer understanding","Experimentation, funnel analytics, product/growth metrics",Marketing experience provides a useful base for data-driven growth work.
USER003,Financial Analyst,88,"Accounting, financial reporting, Excel, attention to detail","Analytics, forecasting, visualisation, business insights",Accounting knowledge is highly transferable to analytical finance.
USER003,Business Analyst,70,"Process knowledge, finance domain, problem solving, stakeholder management","Requirements analysis, data analytics, process modelling",Finance process knowledge can transfer into broader business analysis.
USER004,Finance Analyst,79,"Reconciliation, ERP data, Excel, month-end exposure","Financial modelling, BI dashboards, commentary writing","Sixteen years of transaction detail is exactly the grounding analysts need; the gap is analysis tooling, not finance knowledge."
USER004,Procurement Executive,72,"Supplier relationships, PO matching, discrepancy resolution","Sourcing strategy, contract negotiation, category management",Daily supplier contact and P2P fluency transfer directly into a procurement seat.
USER005,Test Automation Engineer,84,"Test design, defect analysis, API testing, Selenium exposure","Python fluency, framework design, CI/CD integration","The domain knowledge is already there; this is a tooling step, not a career change."
USER005,AI Evaluation Specialist,68,"Systematic test design, edge-case thinking, defect reporting","LLM evaluation methods, prompt testing, statistical judgment of quality","QA's habit of breaking things methodically is exactly what AI evaluation needs, but the measurement methods are new."
USER006,Brand Strategist,77,"Brand voice, audience understanding, campaign experience, community insight","Strategic frameworks, market research, positioning work",Nine years of knowing what lands with an audience is the raw material of strategy; the gap is method and vocabulary.
USER006,Marketing Analytics Executive,66,"Campaign reporting, platform metrics, content performance instinct","SQL, attribution modelling, dashboard building","Already reads campaign numbers daily, but would need real data skills to move into analytics properly."
