resource_id,name,provider,type,target_roles,skills,funding,url,source_url,notes
RES001,MySkillsFuture Course Directory,SkillsFuture Singapore,Course directory,All three,"Search current AI, analytics, digital and sector-specific courses",Check course-specific subsidies in directory,https://www.myskillsfuture.gov.sg/,https://www.skillsfuture.gov.sg/enhancedsubsidy-faq,Use as the authoritative course-search endpoint; verify exact course funding at demo time.
RES002,SkillsFuture Series,SkillsFuture Singapore,Short industry-relevant training,All three,Digital / emerging skills including AI-related learning,SSG-supported; course-specific,https://www.skillsfuture.gov.sg/initiatives/individuals,https://www.skillsfuture.gov.sg/initiatives/individuals,Good lightweight option for users with limited weekly learning time.
RES003,SkillsFuture Career Transition Programme (SCTP),SkillsFuture Singapore,Train-and-place programme,Daniel / Michelle; broader mid-career users,Sector-specific transition skills,Baseline course fee funding; enhanced support may apply by eligibility,https://www.skillsfuture.gov.sg/skillsfuture-career-transition-programme,https://www.skillsfuture.gov.sg/,Verify current course catalogue and individual eligibility before showing a specific programme.
RES004,Career Conversion Programmes (CCP),Workforce Singapore (WSG),Reskilling / structured on-the-job training,Daniel / Michelle; career switchers,Growth job roles across around 30 sectors,"Employer-side funding such as salary support / training allowance, depending on CCP",https://www.wsg.gov.sg/home/employers-industry-partners/workforce-transformation/career-conversion-programmes,https://www.wsg.gov.sg/docs/default-source/programme/career-conversion-programmes/1_ccp_factsheet_3mar2025.pdf,Best surfaced when user indicates openness to role/sector change.
RES005,SkillsFuture Level-Up Programme,SkillsFuture Singapore,Mid-career deep-skilling support,Users aged 40+,Substantive skills reboot / longer-form training,Enhanced support for eligible Singapore Citizens aged 40+,https://www.skillsfuture.gov.sg/initiatives/individuals,https://www.skillsfuture.gov.sg/initiatives/individuals,"Michelle is 38, so do NOT mark eligible; use as future eligibility signal only."
RES006,SkillsFuture Mid-Career Enhanced Subsidy,SkillsFuture Singapore,Enhanced course fee subsidy,Singapore Citizens aged 40+,Eligible SSG-supported courses and MOE-funded programmes,Enhanced subsidy; exact support depends on course and eligibility,https://www.skillsfuture.gov.sg/enhancedsubsidy-faq,https://www.skillsfuture.gov.sg/enhancedsubsidy-faq,Age-gated. Do not apply to the 38-year-old Michelle yet.
RES007,SkillsFuture Credit,SkillsFuture Singapore,Training credit,Eligible Singapore Citizens,Use toward eligible SkillsFuture courses,Personal SkillsFuture Credit balance; course rules apply,https://www.skillsfuture.gov.sg/initiatives/individuals,https://www.skillsfuture.gov.sg/initiatives/individuals,Your connector should check balance/eligibility rather than invent a balance.
RES008,WSG Career Health / Career Matching Services,Workforce Singapore,Career planning / matching support,Daniel / Michelle and all mid-career users,"Career matching, skills and training advisory, transition planning",Public service; support availability varies by service,https://www.wsg.gov.sg/home/campaigns/career-health,https://www.wsg.gov.sg/home/campaigns/career-health,Useful when Pathfinder recommends a career pivot.
RES009,Skills Framework for Accountancy,SkillsFuture Singapore / WSG / SAC / ISCA,Skills framework,Michelle,"Occupation/job roles, existing and emerging skills",Not a course; use as RAG grounding source,https://www.skillsfuture.gov.sg/initiatives/training-providers/skills-framework/accountancy,https://www.skillsfuture.gov.sg/initiatives/training-providers/skills-framework/accountancy,Use as Role Intelligence source.
RES010,Skills Framework for Media,SkillsFuture Singapore,Skills framework,Daniel,"Marketing Executive tasks, technical skills and critical core skills",Not a course; use as RAG grounding source,https://www.skillsfuture.gov.sg/docs/default-source/skills-framework/skills-framework-for-media_2024_pdf.pdf,https://www.skillsfuture.gov.sg/docs/default-source/skills-framework/skills-framework-for-media_2024_pdf.pdf,Role Intelligence source. Includes Marketing Executive job description and key tasks.
RES011,SkillsFuture Jobs-Skills Insights – Digital Economy,SkillsFuture Singapore,Jobs/skills report,Sarah,"Software engineering, programming, testing, software design and critical core skills",Not a funding scheme; use as grounding source,https://www.skillsfuture.gov.sg/docs/default-source/initiatives/sf-jsi/skillsfuture-jobsskills-insights-july-2023_final.pdf,https://www.skillsfuture.gov.sg/docs/default-source/initiatives/sf-jsi/skillsfuture-jobsskills-insights-july-2023_final.pdf,Useful Role Intelligence baseline; current signal sources should drive change detection.
RES012,SkillsFuture Skills Framework – Financial Services,SkillsFuture Singapore,Skills framework,Finance-adjacent pivots,"Financial services operations, digital/data analytics and career pathways",Not a course; use as RAG grounding source,https://www.skillsfuture.gov.sg/docs/default-source/skills-framework/sfw_fin_booklet_fa_20190930.pdf,https://www.skillsfuture.gov.sg/docs/default-source/skills-framework/sfw_fin_booklet_fa_20190930.pdf,Useful for Pathfinder to finance-adjacent roles; do not treat as the primary accountancy role source.
