opportunity_id,name,provider,category,role_family,url,cadence,cost,what_its_for,notes
OPP001,MyCareersFuture,Workforce Singapore,Job board,All,https://www.mycareersfuture.gov.sg/,Always open,Free,Government job board with SG salary data and skills matching,Start here for SG roles; listings show which skills employers ask for.
OPP002,LinkedIn Jobs,LinkedIn,Job board,All,https://www.linkedin.com/jobs/,Always open,Free,"Roles plus the people already doing them, useful for seeing real career paths",Set alerts for target-role titles rather than browsing.
OPP003,Indeed Singapore,Indeed,Job board,All,https://sg.indeed.com/,Always open,Free,Broad SG listings including SME and contract roles,Good coverage of roles that never reach LinkedIn.
OPP004,JobStreet Singapore,JobStreet by SEEK,Job board,All,https://www.jobstreet.com.sg/,Always open,Free,"Established SG board, strong in ops, finance and admin roles",Widely used by local employers outside tech.
OPP005,Glints,Glints,Job board,All,https://glints.com/sg,Always open,Free,Startup and scale-up roles across SEA,Skews younger and to startups; good for switchers wanting range.
OPP006,e2i (Employment and Employability Institute),NTUC e2i,Career service,All,https://e2i.com.sg/,Ongoing,Free,"Career coaching, job fairs and place-and-train programmes",Walk-in career advice; useful for mid-career switchers.
OPP007,Careers Connect,Workforce Singapore,Career service,All,https://www.wsg.gov.sg/,Ongoing,Free,One-to-one career guidance from WSG advisers,Book a session before committing to a switch.
OPP008,Singapore Computer Society,SCS,Professional body,Tech,https://www.scs.org.sg/,Year-round,Membership fee,"Tech professional body: events, certification, community",Student and professional membership tiers.
OPP009,Google Developer Groups Singapore,GDG Singapore,Community,Tech,https://gdg.community.dev/,Monthly,Free,"Developer meetups, talks and workshops",Low-commitment way to meet people doing the role you want.
OPP010,Tech in Asia,Tech in Asia,Industry news,Tech,https://www.techinasia.com/,Daily,Free tier,"SEA tech news, funding rounds and job listings",Useful for spotting which companies are hiring before roles post.
OPP011,Hack & Roll,NUS Hackers,Hackathon,Tech,https://hacknroll.nus.edu.sg/,Annual,Free,Beginner-friendly 24-hour hackathon,Portfolio project in a weekend; open beyond NUS students.
OPP012,DSTA BrainHack,DSTA,Competition,Tech,https://www.dsta.gov.sg/brainhack,Annual,Free,AI and cyber challenges run by DSTA,Strong signal on a CV for AI-adjacent roles.
OPP013,SGInnovate,SGInnovate,Events,"Tech, Science",https://www.sginnovate.com/,Weekly,Mostly free,"Deep-tech talks, workshops and hiring events",Best single source for AI and deep-tech events in SG.
OPP014,Singapore FinTech Festival,MAS / Elevandi,Conference,"Finance, Tech",https://www.fintechfestival.sg/,Annual,Paid; some free passes,Where finance and technology hiring conversations happen,Check for free community or student passes.
OPP015,Institute of Banking and Finance,IBF Singapore,Professional body,Finance,https://www.ibf.org.sg/,Year-round,Varies,"Finance skills framework, certification and funded training",IBF-accredited courses often carry higher subsidy.
OPP016,Institute of Singapore Chartered Accountants,ISCA,Professional body,Finance,https://isca.org.sg/,Year-round,Membership fee,"Accountancy body: CPD, events and career resources",Relevant for finance roles moving toward analysis and advisory.
OPP017,Marketing Institute of Singapore,MIS,Professional body,Marketing,https://www.mis.org.sg/,Year-round,Membership fee,"Marketing professional body: courses, events, accreditation",Useful for marketers formalising strategy skills.
OPP018,A*STAR,Agency for Science Technology and Research,Research body,Science,https://www.a-star.edu.sg/,Year-round,Free to browse,"Research careers, attachments and scientific events",Entry point for research and science-adjacent roles.
OPP019,Science Centre Singapore,Science Centre Singapore,Events,Science,https://www.science.edu.sg/,Year-round,Varies,"Science festivals, public science events and outreach roles",Includes the annual Singapore Science Festival.
OPP020,Meetup Singapore,Meetup,Community,All,https://www.meetup.com/find/?location=sg,Weekly,Free,"Local interest groups across data, finance, marketing and tech","Search by the skill you're learning, not your job title."
